name,address,phone,hours,website,category,rating
Metro Pet Grooming 1,4538 Maple Ave,(518) 946-3849,9 AM to 6 PM,www.metropetgrooming1.com,Pet Grooming,3
Happy Bakery 2,8571 Commerce St,(513) 322-3420,10 AM to 8 PM,www.happybakery2.com,Bakery,5
Green Restaurant 3,9234 Main St,(949) 627-3320,9 AM to 6 PM,www.greenrestaurant3.com,Restaurant,4
Classic Barbershop 4,2445 Elm St,(843) 114-2730,24 Hours,www.classicbarbershop4.com,Barbershop,5
Classic Auto Repair 5,3989 Elm St,(323) 183-1412,11 AM to 9 PM,www.classicautorepair5.com,Auto Repair,3
Metro Auto Repair 6,3873 Commerce St,(515) 817-7929,9 AM to 6 PM,www.metroautorepair6.com,Auto Repair,5
Green Bookstore 7,3428 Commerce St,(473) 834-1230,7 AM to 5 PM,www.greenbookstore7.com,Bookstore,5
Elite Dry Cleaning 8,7705 Elm St,(294) 121-3301,10 AM to 8 PM,www.elitedrycleaning8.com,Dry Cleaning,3
Classic Cafe 9,2123 Main St,(873) 502-1790,10 AM to 8 PM,www.classiccafe9.com,Cafe,5
Urban Salon 10,9866 Commerce St,(328) 710-2031,7 AM to 5 PM,www.urbansalon10.com,Salon,3
Metro Salon 11,6809 Main St,(697) 252-5073,11 AM to 9 PM,www.metrosalon11.com,Salon,3
Green Bookstore 12,5503 Main St,(594) 843-8236,7 AM to 5 PM,www.greenbookstore12.com,Bookstore,5
Metro Bakery 13,522 Commerce St,(709) 441-1238,7 AM to 5 PM,www.metrobakery13.com,Bakery,4
Happy Salon 14,5143 Commerce St,(396) 771-3530,7 AM to 5 PM,www.happysalon14.com,Salon,4
Green Bookstore 15,3975 Oak Blvd,(482) 109-3281,11 AM to 9 PM,www.greenbookstore15.com,Bookstore,3
Classic Dry Cleaning 16,3965 Oak Blvd,(472) 831-8209,9 AM to 6 PM,www.classicdrycleaning16.com,Dry Cleaning,4
Classic Dry Cleaning 17,7398 Commerce St,(943) 878-4963,10 AM to 8 PM,www.classicdrycleaning17.com,Dry Cleaning,3
Super Gym 18,1416 Commerce St,(507) 855-8071,10 AM to 8 PM,www.supergym18.com,Gym,4
